Category,Metric,Nutrient,Correlation,P-value,Significant
dairy_eggs,eco_num,saturated-fat_100g,-0.513798376591843,2.90902768299711e-42,True
dairy_eggs,eco_num,sugars_100g,0.10805790715323893,0.007658086313976671,True
dairy_eggs,eco_num,fiber_100g,-0.05249969096964723,0.19609858245252276,False
dairy_eggs,eco_num,proteins_100g,-0.12505073451206805,0.002006645126019486,True
dairy_eggs,eco_num,salt_100g,-0.360164474787367,4.63734069668037e-20,True
fats_sauces,nutri_num,energy-kcal_100g,0.11212062745552909,0.03496796118688798,True
fats_sauces,nutri_num,fat_100g,0.20371686172251097,0.0001134306372495873,True
fats_sauces,nutri_num,saturated-fat_100g,0.12321872116269622,0.020395555030780593,True
fats_sauces,nutri_num,sugars_100g,-0.32534126016496806,3.5867331034314344e-10,True
fats_sauces,nutri_num,fiber_100g,-0.20048674456516216,0.00014621002455428438,True
fats_sauces,nutri_num,proteins_100g,-0.4508773572668086,3.9666975516172183e-19,True
fats_sauces,nutri_num,salt_100g,-0.6985496878073396,4.155544428101658e-53,True
fats_sauces,nova_group,energy-kcal_100g,-0.30949070235091697,2.695733489541539e-09,True
fats_sauces,nova_group,fat_100g,-0.24677162255359897,2.6088278570497853e-06,True
fats_sauces,nova_group,saturated-fat_100g,-0.16190038140351787,0.0022465063240933356,True
fats_sauces,nova_group,sugars_100g,0.20125176481872895,0.00013772794132363826,True
fats_sauces,nova_group,fiber_100g,0.16921245423822773,0.001395758052133152,True
fats_sauces,nova_group,proteins_100g,0.2532608169040992,1.3850512620288983e-06,True
fats_sauces,nova_group,salt_100g,0.4792000630081875,1.0060976584592047e-21,True
fats_sauces,eco_num,energy-kcal_100g,-0.5858592007072023,5.28293773173265e-34,True
fats_sauces,eco_num,fat_100g,-0.5467251377669196,5.547797597617485e-29,True
fats_sauces,eco_num,saturated-fat_100g,-0.47561108730832263,2.2135031967010108e-21,True
fats_sauces,eco_num,sugars_100g,0.31708816562871484,1.0404259502326163e-09,True
fats_sauces,eco_num,fiber_100g,0.09134424673655499,0.08613594183741213,False
fats_sauces,eco_num,proteins_100g,0.1757966781759139,0.000894380111185553,True
fats_sauces,eco_num,salt_100g,0.16909674574751737,0.0014065201617088077,True
beverage,nutri_num,energy-kcal_100g,0.17871351188374127,0.021237139247601542,True
beverage,nutri_num,fat_100g,0.5240039192502334,4.3271087934896213e-13,True
beverage,nutri_num,saturated-fat_100g,0.5231973583410829,4.767380630401717e-13,True
beverage,nutri_num,sugars_100g,-0.592117354555568,4.3911064022383626e-17,True
beverage,nutri_num,fiber_100g,0.3915771094356995,1.8200055904880956e-07,True
beverage,nutri_num,proteins_100g,0.4437783074148549,2.1182327527697862e-09,True
beverage,nutri_num,salt_100g,0.17270432265293023,0.02607637335463498,True
beverage,nova_group,energy-kcal_100g,-0.11807553790018611,0.1297454138190513,False
beverage,nova_group,fat_100g,-0.04193603416504099,0.5916397481330428,False
beverage,nova_group,saturated-fat_100g,0.009561324354883015,0.9026923327470103,False
beverage,nova_group,sugars_100g,-0.15698133254606916,0.04340201416736432,True
beverage,nova_group,fiber_100g,-0.11332836685267375,0.14600497486802425,False
beverage,nova_group,proteins_100g,-0.20922080868121423,0.006825107730826201,True
beverage,nova_group,salt_100g,0.3771479648908772,5.479627714864427e-07,True
beverage,eco_num,energy-kcal_100g,-0.2716483484877452,0.00039966084274989524,True
beverage,eco_num,fat_100g,-0.13191994203613241,0.09021989066353822,False
beverage,eco_num,saturated-fat_100g,-0.14206436019219193,0.0678785715087212,False
beverage,eco_num,sugars_100g,-0.044267546209201335,0.5711793788410178,False
beverage,eco_num,fiber_100g,-0.20557585455521044,0.00788191010864659,True
beverage,eco_num,proteins_100g,-0.18331912905513026,0.018072714742610983,True
beverage,eco_num,salt_100g,0.09237221287609677,0.23654285128187522,False
